language,module,category,deck_id,deck_title,deck_description,item_index,prompt,answer,answers_json,plural_answers_json,infinitive,translation,form_label,tense_tag,person_tag,is_imperfect,source_rank,source_text,story_id,story_title,story_level,story_unlock_percent,story_target_cefr,story_difficulty_notes,story_approx_word_count,story_text,raw_json
es,verbs,futuro,ser,ser,to be,25,futuro - él/ella/usted,será,"[""será""]",,ser,to be,futuro - él/ella/usted,futuro,él_ella_usted,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""futuro - él/ella/usted"", ""answer"": ""será"", ""tenseTag"": ""futuro"", ""personTag"": ""él_ella_usted""}}"
es,verbs,futuro,ser,ser,to be,26,futuro - nosotros,seremos,"[""seremos""]",,ser,to be,futuro - nosotros,futuro,nosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""futuro - nosotros"", ""answer"": ""seremos"", ""tenseTag"": ""futuro"", ""personTag"": ""nosotros""}}"
es,verbs,futuro,ser,ser,to be,27,futuro - vosotros,seréis,"[""seréis""]",,ser,to be,futuro - vosotros,futuro,vosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""futuro - vosotros"", ""answer"": ""seréis"", ""tenseTag"": ""futuro"", ""personTag"": ""vosotros""}}"
es,verbs,futuro,ser,ser,to be,28,futuro - ellos/ellas/ustedes,serán,"[""serán""]",,ser,to be,futuro - ellos/ellas/ustedes,futuro,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""futuro - ellos/ellas/ustedes"", ""answer"": ""serán"", ""tenseTag"": ""futuro"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,condicional,ser,ser,to be,29,condicional - yo,sería,"[""sería""]",,ser,to be,condicional - yo,condicional,yo,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""condicional - yo"", ""answer"": ""sería"", ""tenseTag"": ""condicional"", ""personTag"": ""yo""}}"
es,verbs,condicional,ser,ser,to be,30,condicional,serías,"[""serías""]",,ser,to be,condicional,condicional,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""condicional"", ""answer"": ""serías"", ""tenseTag"": ""condicional"", ""personTag"": null}}"
es,verbs,condicional,ser,ser,to be,31,condicional - él/ella/usted,sería,"[""sería""]",,ser,to be,condicional - él/ella/usted,condicional,él_ella_usted,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""condicional - él/ella/usted"", ""answer"": ""sería"", ""tenseTag"": ""condicional"", ""personTag"": ""él_ella_usted""}}"
es,verbs,condicional,ser,ser,to be,32,condicional - nosotros,seríamos,"[""seríamos""]",,ser,to be,condicional - nosotros,condicional,nosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""condicional - nosotros"", ""answer"": ""seríamos"", ""tenseTag"": ""condicional"", ""personTag"": ""nosotros""}}"
es,verbs,condicional,ser,ser,to be,33,condicional - vosotros,seríais,"[""seríais""]",,ser,to be,condicional - vosotros,condicional,vosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""condicional - vosotros"", ""answer"": ""seríais"", ""tenseTag"": ""condicional"", ""personTag"": ""vosotros""}}"
es,verbs,condicional,ser,ser,to be,34,condicional - ellos/ellas/ustedes,serían,"[""serían""]",,ser,to be,condicional - ellos/ellas/ustedes,condicional,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""condicional - ellos/ellas/ustedes"", ""answer"": ""serían"", ""tenseTag"": ""condicional"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,subjuntivo_presente,ser,ser,to be,35,subjuntivo presente - yo,sea,"[""sea""]",,ser,to be,subjuntivo presente - yo,subjuntivo_presente,yo,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo presente - yo"", ""answer"": ""sea"", ""tenseTag"": ""subjuntivo_presente"", ""personTag"": ""yo""}}"
es,verbs,subjuntivo_presente,ser,ser,to be,36,subjuntivo presente,seas,"[""seas""]",,ser,to be,subjuntivo presente,subjuntivo_presente,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo presente"", ""answer"": ""seas"", ""tenseTag"": ""subjuntivo_presente"", ""personTag"": null}}"
es,verbs,subjuntivo_presente,ser,ser,to be,37,subjuntivo presente - él/ella/usted,sea,"[""sea""]",,ser,to be,subjuntivo presente - él/ella/usted,subjuntivo_presente,él_ella_usted,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo presente - él/ella/usted"", ""answer"": ""sea"", ""tenseTag"": ""subjuntivo_presente"", ""personTag"": ""él_ella_usted""}}"
es,verbs,subjuntivo_presente,ser,ser,to be,38,subjuntivo presente - nosotros,seamos,"[""seamos""]",,ser,to be,subjuntivo presente - nosotros,subjuntivo_presente,nosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo presente - nosotros"", ""answer"": ""seamos"", ""tenseTag"": ""subjuntivo_presente"", ""personTag"": ""nosotros""}}"
es,verbs,subjuntivo_presente,ser,ser,to be,39,subjuntivo presente - vosotros,seáis,"[""seáis""]",,ser,to be,subjuntivo presente - vosotros,subjuntivo_presente,vosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo presente - vosotros"", ""answer"": ""seáis"", ""tenseTag"": ""subjuntivo_presente"", ""personTag"": ""vosotros""}}"
es,verbs,subjuntivo_presente,ser,ser,to be,40,subjuntivo presente - ellos/ellas/ustedes,sean,"[""sean""]",,ser,to be,subjuntivo presente - ellos/ellas/ustedes,subjuntivo_presente,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo presente - ellos/ellas/ustedes"", ""answer"": ""sean"", ""tenseTag"": ""subjuntivo_presente"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,subjuntivo_pasado,ser,ser,to be,41,subjuntivo pasado - yo,fuera | fuese,"[""fuera | fuese""]",,ser,to be,subjuntivo pasado - yo,subjuntivo_pasado,yo,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo pasado - yo"", ""answer"": ""fuera | fuese"", ""tenseTag"": ""subjuntivo_pasado"", ""personTag"": ""yo""}}"
es,verbs,subjuntivo_pasado,ser,ser,to be,42,subjuntivo pasado,fueras | fueses,"[""fueras | fueses""]",,ser,to be,subjuntivo pasado,subjuntivo_pasado,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo pasado"", ""answer"": ""fueras | fueses"", ""tenseTag"": ""subjuntivo_pasado"", ""personTag"": null}}"
es,verbs,subjuntivo_pasado,ser,ser,to be,43,subjuntivo pasado - él/ella/usted,fuera | fuese,"[""fuera | fuese""]",,ser,to be,subjuntivo pasado - él/ella/usted,subjuntivo_pasado,él_ella_usted,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo pasado - él/ella/usted"", ""answer"": ""fuera | fuese"", ""tenseTag"": ""subjuntivo_pasado"", ""personTag"": ""él_ella_usted""}}"
es,verbs,subjuntivo_pasado,ser,ser,to be,44,subjuntivo pasado - nosotros,fuéramos | fuésemos,"[""fuéramos | fuésemos""]",,ser,to be,subjuntivo pasado - nosotros,subjuntivo_pasado,nosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo pasado - nosotros"", ""answer"": ""fuéramos | fuésemos"", ""tenseTag"": ""subjuntivo_pasado"", ""personTag"": ""nosotros""}}"
es,verbs,subjuntivo_pasado,ser,ser,to be,45,subjuntivo pasado - vosotros,fuerais | fueseis,"[""fuerais | fueseis""]",,ser,to be,subjuntivo pasado - vosotros,subjuntivo_pasado,vosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo pasado - vosotros"", ""answer"": ""fuerais | fueseis"", ""tenseTag"": ""subjuntivo_pasado"", ""personTag"": ""vosotros""}}"
es,verbs,subjuntivo_pasado,ser,ser,to be,46,subjuntivo pasado - ellos/ellas/ustedes,fueran | fuesen,"[""fueran | fuesen""]",,ser,to be,subjuntivo pasado - ellos/ellas/ustedes,subjuntivo_pasado,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo pasado - ellos/ellas/ustedes"", ""answer"": ""fueran | fuesen"", ""tenseTag"": ""subjuntivo_pasado"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,imperativo,ser,ser,to be,47,imperativo positivo,sé,"[""sé""]",,ser,to be,imperativo positivo,imperativo,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperativo positivo"", ""answer"": ""sé"", ""tenseTag"": ""imperativo"", ""personTag"": null}}"
es,verbs,imperativo,ser,ser,to be,48,imperativo positivo,seas,"[""seas""]",,ser,to be,imperativo positivo,imperativo,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperativo positivo"", ""answer"": ""seas"", ""tenseTag"": ""imperativo"", ""personTag"": null}}"
es,verbs,imperativo,ser,ser,to be,49,imperativo positivo - él/ella/usted,sea,"[""sea""]",,ser,to be,imperativo positivo - él/ella/usted,imperativo,él_ella_usted,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperativo positivo - él/ella/usted"", ""answer"": ""sea"", ""tenseTag"": ""imperativo"", ""personTag"": ""él_ella_usted""}}"
es,verbs,imperativo,ser,ser,to be,50,imperativo positivo - nosotros,seamos,"[""seamos""]",,ser,to be,imperativo positivo - nosotros,imperativo,nosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperativo positivo - nosotros"", ""answer"": ""seamos"", ""tenseTag"": ""imperativo"", ""personTag"": ""nosotros""}}"
es,verbs,imperativo,ser,ser,to be,51,imperativo positivo - vosotros,sed,"[""sed""]",,ser,to be,imperativo positivo - vosotros,imperativo,vosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperativo positivo - vosotros"", ""answer"": ""sed"", ""tenseTag"": ""imperativo"", ""personTag"": ""vosotros""}}"
es,verbs,imperativo,ser,ser,to be,52,imperativo positivo - ellos/ellas/ustedes,sean,"[""sean""]",,ser,to be,imperativo positivo - ellos/ellas/ustedes,imperativo,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperativo positivo - ellos/ellas/ustedes"", ""answer"": ""sean"", ""tenseTag"": ""imperativo"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,subjuntivo_futuro,ser,ser,to be,53,subjuntivo futuro - yo,fuere,"[""fuere""]",,ser,to be,subjuntivo futuro - yo,subjuntivo_futuro,yo,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo futuro - yo"", ""answer"": ""fuere"", ""tenseTag"": ""subjuntivo_futuro"", ""personTag"": ""yo""}}"
es,verbs,subjuntivo_futuro,ser,ser,to be,54,subjuntivo futuro,fueres,"[""fueres""]",,ser,to be,subjuntivo futuro,subjuntivo_futuro,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo futuro"", ""answer"": ""fueres"", ""tenseTag"": ""subjuntivo_futuro"", ""personTag"": null}}"
es,verbs,subjuntivo_futuro,ser,ser,to be,55,subjuntivo futuro - él/ella/usted,fuere,"[""fuere""]",,ser,to be,subjuntivo futuro - él/ella/usted,subjuntivo_futuro,él_ella_usted,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo futuro - él/ella/usted"", ""answer"": ""fuere"", ""tenseTag"": ""subjuntivo_futuro"", ""personTag"": ""él_ella_usted""}}"
es,verbs,subjuntivo_futuro,ser,ser,to be,56,subjuntivo futuro - nosotros,fuéremos,"[""fuéremos""]",,ser,to be,subjuntivo futuro - nosotros,subjuntivo_futuro,nosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo futuro - nosotros"", ""answer"": ""fuéremos"", ""tenseTag"": ""subjuntivo_futuro"", ""personTag"": ""nosotros""}}"
es,verbs,subjuntivo_futuro,ser,ser,to be,57,subjuntivo futuro - vosotros,fuereis,"[""fuereis""]",,ser,to be,subjuntivo futuro - vosotros,subjuntivo_futuro,vosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo futuro - vosotros"", ""answer"": ""fuereis"", ""tenseTag"": ""subjuntivo_futuro"", ""personTag"": ""vosotros""}}"
es,verbs,subjuntivo_futuro,ser,ser,to be,58,subjuntivo futuro - ellos/ellas/ustedes,fueren,"[""fueren""]",,ser,to be,subjuntivo futuro - ellos/ellas/ustedes,subjuntivo_futuro,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""subjuntivo futuro - ellos/ellas/ustedes"", ""answer"": ""fueren"", ""tenseTag"": ""subjuntivo_futuro"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,infinitivo,haber,haber,to have,1,infinitivo,haber,"[""haber""]",,haber,to have,infinitivo,infinitivo,,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""infinitivo"", ""answer"": ""haber"", ""tenseTag"": ""infinitivo"", ""personTag"": null}}"
es,verbs,gerundio,haber,haber,to have,2,gerundio,habiendo,"[""habiendo""]",,haber,to have,gerundio,gerundio,,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""gerundio"", ""answer"": ""habiendo"", ""tenseTag"": ""gerundio"", ""personTag"": null}}"
es,verbs,participio,haber,haber,to have,3,participio,habido,"[""habido""]",,haber,to have,participio,participio,,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""participio"", ""answer"": ""habido"", ""tenseTag"": ""participio"", ""personTag"": null}}"
es,verbs,presente,haber,haber,to have,4,presente - yo,he,"[""he""]",,haber,to have,presente - yo,presente,yo,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""presente - yo"", ""answer"": ""he"", ""tenseTag"": ""presente"", ""personTag"": ""yo""}}"
es,verbs,presente,haber,haber,to have,5,presente,has,"[""has""]",,haber,to have,presente,presente,,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""presente"", ""answer"": ""has"", ""tenseTag"": ""presente"", ""personTag"": null}}"
es,verbs,presente,haber,haber,to have,6,presente - él/ella/usted,ha,"[""ha""]",,haber,to have,presente - él/ella/usted,presente,él_ella_usted,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""presente - él/ella/usted"", ""answer"": ""ha"", ""tenseTag"": ""presente"", ""personTag"": ""él_ella_usted""}}"
es,verbs,presente,haber,haber,to have,7,presente,hay,"[""hay""]",,haber,to have,presente,presente,,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""presente"", ""answer"": ""hay"", ""tenseTag"": ""presente"", ""personTag"": null}}"
es,verbs,presente,haber,haber,to have,8,presente - nosotros,hemos,"[""hemos""]",,haber,to have,presente - nosotros,presente,nosotros,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""presente - nosotros"", ""answer"": ""hemos"", ""tenseTag"": ""presente"", ""personTag"": ""nosotros""}}"
es,verbs,presente,haber,haber,to have,9,presente - vosotros,habéis,"[""habéis""]",,haber,to have,presente - vosotros,presente,vosotros,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""presente - vosotros"", ""answer"": ""habéis"", ""tenseTag"": ""presente"", ""personTag"": ""vosotros""}}"
es,verbs,presente,haber,haber,to have,10,presente - ellos/ellas/ustedes,han,"[""han""]",,haber,to have,presente - ellos/ellas/ustedes,presente,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""presente - ellos/ellas/ustedes"", ""answer"": ""han"", ""tenseTag"": ""presente"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,imperfecto,haber,haber,to have,11,imperfecto - yo,había,"[""había""]",,haber,to have,imperfecto - yo,imperfecto,yo,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""imperfecto - yo"", ""answer"": ""había"", ""tenseTag"": ""imperfecto"", ""personTag"": ""yo""}}"
es,verbs,imperfecto,haber,haber,to have,12,imperfecto,habías,"[""habías""]",,haber,to have,imperfecto,imperfecto,,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""imperfecto"", ""answer"": ""habías"", ""tenseTag"": ""imperfecto"", ""personTag"": null}}"
es,verbs,imperfecto,haber,haber,to have,13,imperfecto - él/ella/usted,había,"[""había""]",,haber,to have,imperfecto - él/ella/usted,imperfecto,él_ella_usted,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""imperfecto - él/ella/usted"", ""answer"": ""había"", ""tenseTag"": ""imperfecto"", ""personTag"": ""él_ella_usted""}}"
es,verbs,imperfecto,haber,haber,to have,14,imperfecto - nosotros,habíamos,"[""habíamos""]",,haber,to have,imperfecto - nosotros,imperfecto,nosotros,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""imperfecto - nosotros"", ""answer"": ""habíamos"", ""tenseTag"": ""imperfecto"", ""personTag"": ""nosotros""}}"
es,verbs,imperfecto,haber,haber,to have,15,imperfecto - vosotros,habíais,"[""habíais""]",,haber,to have,imperfecto - vosotros,imperfecto,vosotros,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""imperfecto - vosotros"", ""answer"": ""habíais"", ""tenseTag"": ""imperfecto"", ""personTag"": ""vosotros""}}"
es,verbs,imperfecto,haber,haber,to have,16,imperfecto - ellos/ellas/ustedes,habían,"[""habían""]",,haber,to have,imperfecto - ellos/ellas/ustedes,imperfecto,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""imperfecto - ellos/ellas/ustedes"", ""answer"": ""habían"", ""tenseTag"": ""imperfecto"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,indefinido,haber,haber,to have,17,indefinido - yo,hube,"[""hube""]",,haber,to have,indefinido - yo,indefinido,yo,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""indefinido - yo"", ""answer"": ""hube"", ""tenseTag"": ""indefinido"", ""personTag"": ""yo""}}"
es,verbs,indefinido,haber,haber,to have,18,indefinido,hubiste,"[""hubiste""]",,haber,to have,indefinido,indefinido,,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""indefinido"", ""answer"": ""hubiste"", ""tenseTag"": ""indefinido"", ""personTag"": null}}"
es,verbs,indefinido,haber,haber,to have,19,indefinido - él/ella/usted,hubo,"[""hubo""]",,haber,to have,indefinido - él/ella/usted,indefinido,él_ella_usted,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""indefinido - él/ella/usted"", ""answer"": ""hubo"", ""tenseTag"": ""indefinido"", ""personTag"": ""él_ella_usted""}}"
es,verbs,indefinido,haber,haber,to have,20,indefinido - nosotros,hubimos,"[""hubimos""]",,haber,to have,indefinido - nosotros,indefinido,nosotros,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""indefinido - nosotros"", ""answer"": ""hubimos"", ""tenseTag"": ""indefinido"", ""personTag"": ""nosotros""}}"
es,verbs,indefinido,haber,haber,to have,21,indefinido - vosotros,hubisteis,"[""hubisteis""]",,haber,to have,indefinido - vosotros,indefinido,vosotros,,,,,,,,,,,,"{""verb"": ""haber"", ""form"": {""label"": ""indefinido - vosotros"", ""answer"": ""hubisteis"", ""tenseTag"": ""indefinido"", ""personTag"": ""vosotros""}}"
